names,ethnicities
ABRAMS NEIL,dutch
ADAMS JR RUSSELL E,american
ALBRECHT DENNIS,german
ALBRITTON CLARENCE,filipino
ALVO MARC S,spanish
ANDERSON BRUCE C,australian
ANDERSON GERALD A,filipino
ANDERSON HAROLD,australian
ANDREWS MELVYN J,american
ANSHER BERNARD,french
APLEY RICHARD J,australian
ARBES CARL J,american
ARGENBRIGHT TONY MICHAEL,american
ARNOLD BRUCE,american
AROLA DAVE W,filipino
ASCHENBRENNER PETER,german
ATKINSON CHARLES,indian
BRADLEY PAULA A,australian
AVILA STEPHEN P,indian
BALDWIN ROBERT D,dutch
BALL MICHAEL W,american
BAREFOOT GALEN L,american
BARR JOSEPHINE,irish
BARRETT LEE E,american
BARTIS ANTHONY,american
BARTUSKA FRANCIS JOHN,polish
BARTZ CLIFFORD T,american
BASCOMB JR WILBUR,american
BASINGER SHERMAN D,dutch
BATTEN JR J REED,american
BECK SHRIVE,american
BEHA JR WILLIAM,american
BEHREND HARVEY E,american
BELL HELEN,american
BELL JAMES J,american
BELL JANYCE A,filipino
BELL MARK LEE,australian
BELL PAUL A,filipino
BENNETT HENRY A,australian
BENTLEY STEPHEN,australian
BERCH MARK L,american
BERGMANN SAUL,german
BERMAN JACK I,american
BERNSTEIN HIRAM H,norwegian
BERTSCH RICHARD A,german
BILINSKY ZENON,american
BLEUTGE JOHN,dutch
BLUM THEODORE M,australian
BOAS GAIL M,australian
BOLAND LOIS E,french
BONCK RODNEY H,australian
BOND ROBERT,american
BOOKBINDER MARC E,nigerian
BOUDREAU LEO H,french
BOVERNICK RODNEY B,australian
BOWERS JR CHARLES L,american
BRAHAN THOMAS J,american
BRAMMER JACK,american
BRATLIE STEVEN A,australian
BRAUN FRED L,american
BRAUN LESLIE ALLEN,australian
BRAY WAYMOND D,american
BRIGGS SR WILBERT,american
BRIGGS WILLIAM R,american
BRITTON HOWARD W,american
BRITTS RAMON S,norwegian
BROCK DORIS,american
BROOME HAROLD,british
BROWN DAVID,filipino
FORD JANICE M,american
BROWN JOHNNIE,american
BROWN MURIEL ANN,american
BROWN THEATRICE,australian
BROWN THOMAS,american
BRUST JOSEPH,american
BRYANT III JAMES E,american
BUCZINSKI STEPHEN C,polish
BUDD MARK OSBORNE,american
BUEKER RICHARD R,american
BUFFALOW EDITH,nigerian
BUIZ MIKADO RYAN,spanish
BULLOCK BARBARA J,american
BURKE WALLACE,american
BURR EDGAR S,american
BUTLER DOUGLAS C,american
CALDAROLA GLENN A,filipino
CANGIALOSI SALVATORE A,italian
CANNEY VINCENT P,american
CANNON JAMES,british
CAPOSSELA RONALD C,filipino
CARDILLO JR RAYMOND,american
CAROFF MARC L,french
CARROLL JAMES J,american
CASAREGOLA LOUIS J,american
CHAMBERS A MICHAEL,american
CHAN EDDIE P,australian
CHAN NICKY,irish
CHAPMAN JR JOHN E,american
CHAUDHURI OLIK,indian
CHERRY JOHNNY DAN,filipino
CHIESA RICHARD L,australian
CHILCOT RICHARD E,american
CHIN-SHUE ALVIN CONSTANTINE,british
CHIN GARY,chinese
CHIN PETER,chinese
CHIN STEPHEN,chinese
CHIN TOMMY P,chinese
CHURCH CRAIG E,american
CINTINS IVARS C,american
CLARKE VERA,filipino
CLAWSON JR JOSEPH,american
CLINGMAN A,australian
COAN JAMES F,british
COE PHILIP R,australian
COHAN ALAN,irish
COHEN IRWIN CHARLES,british
COHEN LEE S,australian
COHEN MOSHE I,american
COLES EDWARD L,american
COLLINS DELLA MAE,american
COOPER JACK,british
CORBIN ARTHUR L,american
CORBIN DAVID,american
COVINGTON RAYMOND K,american
CRANE DANIEL C,australian
CRANSON JR JAMES W,american
CROSLAND DONNIE L,australian
CROSS ETHEL R,australian
CROW STEPHEN R,australian
CROWDER CLIFFORD D,australian
CROYLE CARLTON,australian
CUCHLINSKI JR WILLIAM A,american
CULVER HORACE M,filipino
CUOMO PETER M,australian
WEIMAR ELIZABETH C,american
CUSICK ERNEST,irish
CZAJA DONALD,polish
DANG HOANG C,chinese
DAUS DONALD G,american
DAVIE JAMES W,american
DAVIS JR ALBERT,american
DAWSON ROBERT A,australian
DEAN RICHARD,british
DEBOER TODD,dutch
DEES CARL,dutch
DEES JOSE G,dutch
DEMEO PALMER,romanian
DEMILLE DANTON D,american
DENTZ BERNARD I,american
DERRINGTON JAMES H,australian
DESMOND EUGENE,irish
DILDINE JR R STEPHEN,american
DIXON JR WILLIAM R,american
DOLINAR ANDREW M,american
DOLL JOHN J,american
DORNER KENNETH J,american
DOUGLAS ALAN P,american
DOWNEY MARY F,australian
DWYER JAMES L,american
DZIERZYNSKI PAUL M,polish
CEPERLEY MARY,british
ECHOLS PERCY W,dutch
EICKHOLT EUGENE H,american
EISENZOPF REINHARD,german
ELEY TIMOTHY V,dutch
ELKINS GARY E,nigerian
WILSON LINDA P,american
ENG DAVID Y,australian
ENVALL JR ROY N,american
EPSTEIN HENRY F,norwegian
EVANS ARTHUR G,dutch
EVANS FANNIE L,american
EVANS JOSEPH,indian
FALASCO LOUIS V,dutch
FALIK ANDREW M,australian
FALK JOSEPH,german
FAN JANE T,australian
FAVORS EDWARD G,norwegian
FEARS TERRELL W,american
FEIFER MELVIN,turkish
FEINBERG CRAIG R,american
FEYRER JAMES,dutch
FIDEI DAVID,nigerian
FIELDS CAROLYN,american
FISHER J REED,american
FISHER RICHARD V,dutch
FLEMING MICHAEL R,australian
FOCARINO MARGARET ANN,irish
FOELAK MORTON,dutch
FOOTLAND LENARD A,american
FORD JOHN M,australian
FORMAN MICHAEL J,american
FOSS J,australian
FOSTER JIMMY G,american
FRANKFORT CHARLES E,nigerian
FRIDIE JR WILLMON,american
FRIEDMAN CARL D,german
FRIEDMAN STANLEY,irish
FRINKS RONALD,norwegian
FROST WILBUR,german
FULLER BENJAMIN R,spanish
FUNDERBURK PENN DORIS,dutch
GALL LLOYD A,australian
GALLAGHER JOHN J,australian
GANDY JAMES M,australian
GARBE STEPHEN P,australian
GARNER VIVIAN,american
GARRETT ROBERT E,american
GARRIS BRADLEY R,american
GARVIN PATRICK,british
GEHMAN BRYON P,australian
GELLNER MICHAEL L,american
GENSLER PAUL L,american
GERSTL ROBERT,german
GIBSON ROBERT W,american
GILREATH STANLEY,irish
GLUCK RICHARD E,german
GODICI NICHOLAS P,australian
GOLDBERG GERALD,german
GOLDBERG HOWARD N,german
GOLDBERG JEROME D,dutch
GOLDSTEIN HERBERT,norwegian
GOLIAN JOSEPH,indian
GONZALES JOHN F,filipino
FONT FRANK G,german
GOODROW JOHN L,australian
GOODWYN DIANE C,australian
GREEN RANDALL L,filipino
GRIEB WILLIAM H,american
GRIFFIN DONALD,australian
GRIFFIN RONALD,norwegian
GRIMLEY ARTHUR,australian
GRIMM SIEGFRIED H,german
GRON TEDDY S,australian
GROODY JAMES J,australian
GROSZ ALEXANDER,polish
GURLEY DONALD M,american
HAFER ROBERT A,turkish
HAJEC DONALD T,american
HALL CARL E,swedish
HALVOSA GEORGE,german
HANLEY JOHN C,australian
HANNIE SHIRLEY J,american
HANNON THOMAS R,american
HARKAWAY NATALIA,indian
HARKCOM GARY V,dutch
HAROIAN HARRY,irish
HARROD PEGGY A,american
HART DOUGLAS,american
HARTARY JOSEPH W,american
HAUGLAND SCOTT J,american
HAYDEN NATHANIEL R,american
HAYES MONROE H,american
HAZEL BLONDEL,filipino
HEARN BRIAN E,american
HECKER STUART N,dutch
HECKLER THOMAS M,american
HEINZ ALLEN J,german
HEITBRINK TIMOTHY W,american
HELLER GREGORY,german
HENDERSON JR CHRISTOPHER A,american
HERBERT JR THOMAS,american
HERRMANN ALLAN D,german
HERSHKOVITZ ABRAHAM,dutch
HESS BRUCE H,american
HEYMAN JOHN S,american
HEYRANA PAUL,indian
HICKEY ROBERT,american
HILL MITCHELL,australian
HILLE ROLF G,norwegian
HINDENBURG MAX F,german
HIRSCH PAUL J,german
HIX LEE,chinese
HOAG WILLARD,norwegian
HOKE VERONICA P,american
HOLLRAH GLENNON,irish
HOLTJE NELSON C,dutch
HOPPE SHARON S,american
HORNSBY HARVEY,american
HOUSEL JAMES C,american
HOWARD JACQUELINE V,dutch
HOWELL DANIEL W,american
FALCONE JANICE ARRINGTON,british
HOWELL KYLE,australian
HRUSKOCI PETER A,polish
HUDSPETH DAVID R,american
HUNT BROOKS H,american
HUNTER JEANETTE M,australian
HUPPERT MICHEAL,dutch
HURLEY JAN M,american
HUSAR STEPHEN F,american
IRBY VIRGINIA L,filipino
ISABELLA DAVID J,american
ISEN FORESTER W,filipino
SLUBY PATRICIA,filipino
IVY C WARREN,american
JACKMON HUNTER EDITH,australian
JAMES ANDREW,british
JAWORSKI FRANCIS J,polish
JENKINS ROBERT,german
JILLIONS JOHN M,australian
MCMILLIAN INEZ R,spanish
JOHNSON RAYMOND B,american
JOHNSON VESSELS TERRY M,american
JONES LARRY,american
JORDAN CHARLES T,american
JOYCE HAROLD,british
KALAFUT STEPHEN J,american
KAMEN NOAH P,norwegian
KAMM WILLIAM E,american
KANNAN PHILIP,indian
KARLSEN ERNEST F,norwegian
KASHNIKOW ANDRES,indian
KASTLER SCOTT R,american
KAZENSKE E ROBERT,american
KEMENY EMANUEL,nigerian
KENDELL LORRAINE,australian
KEPPLINGER ESTHER M,american
LUEBKE RENEE S,norwegian
KIGHT III JOHN,american
SCALZO CATHERINE KILBY,french
KILLOS PAUL J,american
KIMLIN EDWARD C,australian
KITTLE JOHN E,australian
KOCZO JR MICHAEL,american
KOECKERT JR ARTHUR,german
KONOPKA PAUL,polish
KOZMA THOMAS J,american
KRASS ERROL A,spanish
KRATZ PETER F,german
KRIZEK JANICE LEE,american
KRUTER JEROME,filipino
KULKOSKY PETER F,american
KUNDRAT ANDREW,australian
KUNIN STEPHEN G,australian
KWON JOHN,indian
KYLE DEBORAH L,australian
LACEY DAVID LYNN,irish
LALL PARSHOTAM S,indian
LANDER FERRIS,american
LANGEL WAYNE A,american
LARGEN JAMES,dutch
LARKINS WILLIAM,american
LAROCHE EUGENE,french
LARSON LOWELL A,filipino
LAWRENCE DORETHEA,american
LAWRENCE EVAN,australian
LATEEF MARVIN M,swedish
LAZARUS IRA S,romanian
LAZARUS RICHARD B,american
LE HOA VAN,dutch
LEADER WILLIAM T,british
LECHERT JR STEPHEN J,american
PUROL SARAH L,american
LECRONE DON,filipino
LEE JOHN D,australian
LEE LESTER,australian
LEE MARY C,australian
LESMES GEORGE,british
LEUNG PHILIP H,chinese
LEVY STEWART J,australian
LEVY STUART S,american
LEWIS MICHAEL L,american
LIEBERMAN PAUL,german
LILLING HERBERT J,american
LIN KUANG Y,chinese
LINDSAY JR ROBERT,american
LIPMAN BERNARD,french
LITTLE WILLIS,german
LOGAN RUGENIA L,german
LONE WERREN,swedish
LOOK EDWARD K,american
LOVE JOHN JOSEPH,indian
LOVERING RICHARD D,american
LOWE JAMES,nigerian
LUCAS JAY P,american
LUCAS SUSAN J,american
LUSIGNAN MICHAEL R,american
LYDDANE WILLIAM,australian
MACHADO REINALDO,filipino
MAKAY ALBERT,french
MALZAHN DAVID H,american
MANCENE LOUIS G,dutch
MAR MICHAEL Y,filipino
MARCUS STEPHEN,german
MARLO GEORGE J,filipino
MARMOR CHARLES A,filipino
MARQUIS MELVYN I,filipino
MARS HOWARD,swedish
MARTIN ROLAND E,german
MARTIN JOHN C,australian
MARTIN PATRICIA A,british
MARTINELL JAMES,australian
MASINICK MICHAEL A,australian
MASSIE JEROME W,filipino
MATHEWS ALAN A,american
MYERS HELANE ELEANORA,filipino
MCCAMISH MARION E,australian
MCELHENY JR DONALD E,american
MCFARLANE ANTHONY R,australian
MCGLYNN JOSEPH,american
MCGRAW VINCENT P,australian
MCNALLY JOHN,australian
MCQUADE JOHN P,australian
MEDLEY MARGARET B,australian
MEISLIN DEBRA S,dutch
MEISTER JAMES M,american
MEROS EDWARD,british
METZ ANDREW,german
MEYERS STEVEN N,dutch
MICHALSKY GERALD A,australian
MICHL PAUL R,german
MILES TIM,filipino
WALKER WANDA LYNNE,american
MILLER JR GEORGE,american
MILLER JR STANLEY D,american
MILLER CARL STUART,american
MILLER EDWARD A,american
MILLIN VINCENT A,australian
